sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse
C57BL6J-2.039,scgen,glutamatergic neuron_Isocortex,200,0.717625440636016,0.7523684501647949,0.22,0.9545454545454546,0.21,0.88,0.40038453441244976,17.459204864501952,29.618973541259766,15.764570999145509,886.3603210449219,3.981938600540161
C57BL6J-2.039,scgen,oligodendrocyte_Fiber_tracts,200,0.48108752718817976,0.6956989765167236,0.45,1.0,0.45,0.855,0.44523963853604565,5.28791561126709,6.837063407897949,1.8507058143615722,645.1206298828125,3.4721875190734863
C57BL6J-2.039,scgen,oligodendrocyte_Isocortex,200,0.7640456011400287,0.5385575294494629,0.345,0.9855072463768116,0.34,0.84,0.5904096740394552,7.385524940490723,9.186251068115235,2.6482422828674315,494.21819458007815,3.6094448566436768
C57BL6J-2.041,baseline,GABAergic neuron_Fiber_tracts,200,0.121656953854422,0.10444504767656326,0.2,0.6,0.12,0.535,0.06282722513089005,38.83271751403809,37.25081253051758,23.441864013671875,1660.443798828125,2.77254581451416
C57BL6J-2.041,baseline,GABAergic neuron_Isocortex,200,0.4727144951303472,0.5291979312896729,0.265,0.6981132075471698,0.185,0.705,0.006917734218243555,48.32584228515625,51.894920349121094,28.803636741638183,1061.08359375,3.0194053649902344
C57BL6J-2.041,baseline,astrocyte_Fiber_tracts,200,0.3395238654181089,0.3175472021102905,0.28,0.8392857142857143,0.235,0.725,0.01177824600498571,40.051665496826175,40.4215274810791,19.635642051696777,2310.6341552734375,3.1877822875976562
C57BL6J-2.041,baseline,astrocyte_Isocortex,200,0.6709367734193356,0.6332719922065735,0.33,0.8939393939393939,0.295,0.795,0.004476275738585497,67.50308380126953,69.75228958129883,38.66784820556641,2133.2882568359373,3.342034101486206
C57BL6J-2.041,baseline,endothelial cell_Fiber_tracts,200,0.45415325990013,0.4377661943435669,0.195,0.9743589743589743,0.19,0.735,0.009063444108761328,44.219570541381835,45.31248435974121,21.65337219238281,3059.269287109375,3.0449721813201904
C57BL6J-2.041,baseline,endothelial cell_Isocortex,200,0.7733064823762502,0.7296459078788757,0.415,0.963855421686747,0.4,0.825,0.01774622892635315,66.5750518798828,69.4261100769043,34.07727203369141,2191.055615234375,3.167668104171753
C57BL6J-2.041,baseline,glutamatergic neuron_Fiber_tracts,200,-0.12148353708842723,-0.1689371019601822,0.245,0.3469387755102041,0.085,0.5,0.006075334143377885,45.337771606445315,47.48845291137695,32.50227718353271,2060.412939453125,3.656503677368164
C57BL6J-2.041,baseline,glutamatergic neuron_Isocortex,200,0.28125103127578194,0.21133048832416534,0.265,0.6415094339622641,0.17,0.705,0.0056082830025884385,54.99365158081055,59.76304054260254,36.2975357055664,857.0386840820313,4.01693868637085
C57BL6J-2.041,baseline,oligodendrocyte_Fiber_tracts,200,0.27974199354983875,0.2972010672092438,0.165,0.9393939393939394,0.155,0.815,0.07518072289156627,51.56529693603515,53.01365699768066,20.763622093200684,2057.4985107421876,3.405895471572876
C57BL6J-2.041,baseline,oligodendrocyte_Isocortex,200,0.4780949523738094,0.28236255049705505,0.305,0.9180327868852459,0.28,0.755,0.17863720073664827,63.83049087524414,67.95283813476563,32.254150772094725,2346.163134765625,3.5059990882873535
C57BL6J-2.041,cellina-ablated,GABAergic neuron_Fiber_tracts,200,0.6658621465536639,0.5116408467292786,0.505,0.9108910891089109,0.46,0.82,0.9220187007722898,35.347927474975585,40.163627243041994,8.07838840484619,289.12355346679686,2.9614756107330322
C57BL6J-2.041,cellina-ablated,GABAergic neuron_Isocortex,200,0.8892627315682893,0.9230142831802368,0.52,1.0,0.52,0.98,0.9962617687914802,34.64715461730957,39.1922306060791,8.641938400268554,318.77520751953125,2.9407734870910645
C57BL6J-2.041,cellina-ablated,astrocyte_Fiber_tracts,200,0.7358658966474164,0.5902583599090576,0.435,0.9770114942528736,0.425,0.9,0.7435220117500144,30.18743476867676,30.91922950744629,5.109628486633301,368.1751647949219,3.3582751750946045
